nP init run(50)(GPU_MC_SC-order)
3000 91.4681 722.662
3000 86.2827 686.079
3000 86.3589 684.92
3000 82.0794 685.15
3000 82.0014 684.941
6000 94.7865 1480.44
6000 95.4265 1496.02
6000 86.5719 1491.25
6000 91.511 1494.39
6000 85.7447 1492.07
9000 110.589 2283
9000 92.6698 2281.27
9000 86.6175 2284.44
9000 100.355 2281.7
9000 101.118 2285.79
12000 99.4845 2956.2
12000 98.5287 2953.13
12000 90.7947 2956.5
12000 95.2195 2946.05
12000 92.3463 2954.6
15000 109.605 3796.7
15000 97.555 3789.87
15000 101.047 3769.28
15000 105.914 3786.91
15000 110.224 3775.19
3000 6.47974 1101.53
3000 6.04217 589.727
3000 5.98609 556.959
3000 5.98636 547.298
3000 306.507 662.794
6000 12.864 1604.15
6000 12.453 1805.48
6000 12.9354 1674.2
6000 12.9197 1615.16
6000 12.5784 1577.94
9000 19.9664 3419.16
9000 19.476 3214.96
9000 19.8477 3565.44
9000 21.4894 3271.26
9000 19.8229 3805.15
12000 27.5063 6122.66
12000 29.5267 5917.24
12000 28.7491 5965.5
12000 26.8776 5688.76
12000 29.1412 5845.45
15000 36.4933 8505.8
15000 35.8442 10617.5
15000 35.2325 9751.66
15000 37.2483 9293.82
15000 34.8383 9674.28
3000 6.36309 1999.91
3000 6.07205 1965.12
3000 6.17789 1921.88
3000 6.2918 1953.65
3000 6.44377 1922.41
6000 12.8835 5525.83
6000 12.6554 5492.02
6000 15.4978 5544.83
6000 14.2545 5517.62
6000 13.8773 5487.03
9000 20.7272 10607.8
9000 19.2448 10631.2
9000 19.3725 10591.7
9000 19.461 10617.9
9000 21.3599 10618.3
12000 26.6816 17339.8
12000 26.8597 17406.5
12000 25.5044 17382.5
12000 26.6842 17341.1
12000 27.2185 17352.3
15000 32.4535 25935.7
15000 33.469 26018.3
15000 32.8413 25659
15000 33.4007 25840.1
15000 32.5954 25717.7
